sentence,sentiment,topic,processed_text
thầy nên hướng dẫn thực hành nhiều hơn .,0,general,thầy nên hướng_dẫn thực_hành nhiều hơn
"giảng viên thân thiện , quan tâm tới sinh viên .",2,general,giảng_viên thân_thiện quan_tâm tới sinh_viên
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",0,general,môn lập_trình hướng đối_tượng nên cập_nhật thêm những nội_dung mới dễ hiểu và giảng_giải cụ_thể hơn
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",2,general,giáo_viên nhiệt_tình tâm_huyết khả_năng truyền_đạt tốt
thầy dạy rất tốt và nhiệt tình .,2,general,thầy dạy rất tốt và nhiệt_tình
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",0,general,cô nói hơi nhỏ nếu lớp ồn sẽ khó nghe
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",0,general,bài_tập cô đưa ra nhiều và khó tìm_hiểu với kiến thực_hiện tại của sinh_viên thì khó có_thể tìm_hiểu và làm tốt bài_tập cô ra
bài tập và hoạt động nhóm còn ít .,0,general,bài_tập và hoạt_động nhóm còn ít
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",2,general,giảng_viên rất nhiệt_tình phương_pháp giảng_dạy hay sinh_viên nắm_bắt kiến_thức ngay trên lớp
cô hướng dẫn thực hành khá đầy đủ .,2,general,cô hướng_dẫn thực_hành khá đầy_đủ
được học nhiều kinh nghiệm từ thầy wzjwz163 .,2,general,được học nhiều kinh_nghiệm từ thầy wzjwz163
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",2,general,kiến_thức của thầy rất tốt bảo_đảm giờ lên lớp
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,0,general,hiện_tại em chưa thấy tác_dụng gì nhiều khi học môn này
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,0,general,cải_thiện lại cơ_sở_vật_chất máy_chiếu trong phòng học
dạy không phù hợp với cách học của em .,0,general,dạy không phù_hợp với cách học của em
giải thích nội dung mới rõ ràng .,2,general,giải_thích nội_dung mới rõ_ràng
lớp học quá đông !,0,general,lớp_học quá đông
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",0,general,môn căn_bản mà thầy không dạy cho sinh_viên kỹ gây không hiểu mất căn_bản
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",0,general,giảng_viên chưa cho bài_tập về nhà để sinh_viên làm_nên cho 5 bài mỗi chương không cần chữa chỉ cần đáp_án
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",0,general,mà hiện_tại trường ta chưa có đây là thiệt_thòi lớn đối_với tụi em
tôi cảm thấy giảng viên dạy rất tốt .,2,general,tôi cảm_thấy giảng_viên dạy rất tốt
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",0,general,không biết thầy nào dạy chính_thức mà học thường nghỉ không thông_báo trước để sinh_viên đứng chờ sắp hết_tiết rồi tự về nhiều lần
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,0,general,cần có sự tương_tác giữa giảng_viên và sinh_viên nhiều hơn
giảng viên thân thiện nhiệt tình cởi mở .,2,general,giảng_viên thân_thiện nhiệt_tình cởi_mở
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",2,general,giáo_viên có mời các công_ty về trình_bày giúp sinh_viên cập_nhật kiến_thức thực_tiễn
coi lại thái độ giảng viên thực hành .,0,general,coi lại thái_độ giảng_viên thực_hành
"giảng viên nhiệt tình , giải nhiều bài tập .",2,general,giảng_viên nhiệt_tình giải nhiều bài_tập
bài giảng của thầy rất nhiệt tình .,2,general,bài giảng của thầy rất nhiệt_tình
"môn học chưa thực tiễn , chưa thu hút sinh viên .",0,general,môn_học chưa thực_tiễn chưa thu_hút sinh_viên
dạy hơi nhanh !,0,general,dạy hơi nhanh
ít làm bài tập .,0,general,ít làm bài_tập
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",0,general,giảng bài kém thu_hút vị_trí đứng giảng không hợp_lý ôn_tập cuối kỳ còn chưa tập_trung vào vấn_đề
"giảng viên nhiệt tình , bài giảng thu hút .",2,general,giảng_viên nhiệt_tình bài giảng thu_hút
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",2,general,nhờ thầy và giảng_viên lý_thuyết em đã hiểu rõ về môn này rất nhiều
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,0,general,môn này khá trừu_tượng nên mong thầy có nhiều liên_tưởng tới thực_tiễn hơn để chúng_em có_thể hiểu
cần thêm nhiều tài liệu cho sinh viên .,0,general,cần thêm nhiều tài_liệu cho sinh_viên
bài tập trên lớp .,1,general,bài_tập trên lớp
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,0,general,tăng số tiết dạy lên để sinh_viên có nhiều cơ_hội hỏi_đáp thắc_mắc về môn_học
thầy nhiệt tình dễ hiểu .,2,general,thầy nhiệt_tình dễ hiểu
thực hành và lý thuyết nên dạy song song .,0,general,thực_hành và lý_thuyết nên dạy song_song
giảng viên dạy nhanh .,0,general,giảng_viên dạy nhanh
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,0,general,bài_tập trên lớp nên được giới_thiệu ngay từ đầu tiết_học để học_sinh không tốn thời_gian đọc đề cũng như có_thể suy_nghĩ cách giải cùng lúc với việc nghe giảng
giảng viên cho bài tập hay .,2,general,giảng_viên cho bài_tập hay
cập nhật bài tập mới .,0,general,cập_nhật bài_tập mới
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",0,general,lên lớp ai làm_việc người ấy thầy không có giảng gì thêm
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",2,general,tận tâm_nhiệt_tình quan_tâm đến sinh_viên
phản hồi giải đáp thắc mắc cho sinh viên .,2,general,phản_hồi giải_đáp thắc_mắc cho sinh_viên
dạy quá nhanh .,0,general,dạy quá nhanh
mong ban thiết bị sớm khắc phục ạ !,0,general,mong ban thiết_bị sớm khắc_phục ạ
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,0,general,môn này cần làm đề_tài để áp_dụng lý_thuyết vào thực_tiễn mà trên lớp chỉ học một đống lý_thuyết và hiếm ai nhớ đa_số khá buồn_ngủ khi lên lớp
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",0,general,giảng_viên nên đổi_mới phương_pháp giảng_dạy tránh thô_cứng không hấp_dẫn sinh_viên
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",2,general,nhiệt_tình tạo cách chủ_động cho học_sinh tiếp_cận với môn_học và tham_gia các chương_trình phong_trào liên_quan để nâng cao kỹ_năng
"cô dạy rất tận tình , dễ hiểu .",2,general,cô dạy rất tận_tình dễ hiểu
không đáp ứng được nhu cầu của sinh viên .,0,general,không đáp_ứng được nhu_cầu của sinh_viên
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,2,general,thầy rất nhiệt_tình với chúng_em và điều này làm em rất hài_lòng
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,2,general,cách giảng_dạy của thầy rất hay và có phần dễ hiễu
"nhiệt tình , dễ thương .",2,general,nhiệt_tình dễ_thương
không hướng dẫn đồ án .,0,general,không hướng_dẫn đồ_án
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,0,general,em xin đề_nghị nhà_trường nên bổ_sung tài_liệu về môn_học và cập_nhật nội_dung
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",0,general,chép bài rất nhiều lãng_phí thời_gian nghe giảng
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",0,general,em không học thầy wzjwz178_kỳ này giáo_viên thực_hành có 2 người nên có_lẽ daa nhầm
đề thi môn dài sinh viên làm không đủ thời gian .,0,general,đề thi_môn dài sinh_viên làm không đủ thời_gian
cho làm nhiều bài test .,0,general,cho làm nhiều bài test
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,0,general,theo em thì nên thi phòng máy nào có visual 2013 trở lên
cần thêm nhiều tài liệu cho môn học .,0,general,cần thêm nhiều tài_liệu cho môn_học
thầy giảng dạy tốt .,2,general,thầy giảng_dạy tốt
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,0,general,mong thầy có_thể hướng_dẫn cách cụ_thể nhất cho những bài khó
thầy cần cho bài tập và hướng dẫn nhiều hơn .,0,general,thầy cần cho bài_tập và hướng_dẫn nhiều hơn
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",2,general,giáo_viên lên lớp đúng giờ giảng_bài sôi_động
em thấy thầy chỉ giảng cho có .,0,general,em thấy thầy chỉ giảng cho có
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,0,general,cần xác_định rõ mục_đích môn_học và cho sinh_viên đề_cương chi_tiết môn_học trước khi bắt_đầu
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",2,general,thầy nói_chuyện với sinh_viên rất tự_nhiên chia_sẻ kinh_nghiệm thực_tế
dạy theo sát chương trình .,2,general,dạy theo sát chương_trình
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,0,general,cung_cấp thêm trang_thiết_bị phục_vụ nhu_cầu môn_học
đề nghị nâng cấp phòng lab khoa mạng .,0,general,đề_nghị nâng_cấp phòng lab khoa mạng
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",2,general,thầy giảng hay và tâm_huyết bài giảng có tính thực_tiễn cao
đi dạy đúng giờ .,2,general,đi dạy đúng giờ
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",2,general,thầy cung_cấp nhiều kiến_thức mới thầy dạy tận_tâm và nhiệt_tình
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,2,general,có tăng thêm nhiều ví_dụ để minh_họa cho lý_thuyết vì có nhiều phần lý_thuyết rất trừu_tượng
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,0,general,các yêu_cầu về đồ_án môn_học nên đươc đưa ra chính_xác trước khi sinh_viên bắt_đầu thực_hiện chia nhóm và làm đồ_án
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",2,general,dạy dễ hiểu dễ tiếp_thu tập_trung vài kiến_thức trọng_tâm
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",0,general,dạy chưa được kỹ lắm điểm nên thoáng hơn
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,0,general,chưa chuẩn_bị kỹ bài giảng để có_thể trả_lời các thắc_mắc của sinh_viên trên lớp
cô khá tận tâm cho học sinh .,2,general,cô khá tận_tâm cho học_sinh
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",0,general,cần cải_cách lại nội_dung các bài thực_hành một_số kiến nội_dung trong bài thực_hành đã trở_nên lỗi thời
giảng viên có khả năng truyền đạt kiến thức tốt .,2,general,giảng_viên có khả_năng truyền_đạt kiến_thức tốt
cho làm nhiều bài tập .,0,general,cho làm nhiều bài_tập
nghiên cứu khoa học .,1,general,nghiên_cứu khoa_học
"giáo viên dạy rất tận tâm , nhiệt tình .",2,general,giáo_viên dạy rất tận_tâm nhiệt_tình
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,0,general,thầy cô hướng_dẫn đồ_án hệ_thống thông_tin cần có thêm một_vài buổi gặp_mặt với sinh_viên và đưa ra lịch cố_định trên trường để sinh_viên thắc_mắc có_thể lên hỏi trực_tiếp
chỉ thông báo trên lớp sẽ khó tránh sai sót .,0,general,chỉ thông_báo trên lớp sẽ khó tránh sai_sót
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,0,general,cô viết ở góc bảng gần chổ bụt_giảng khiến nhiều khi khó quan_sát được ạ
đề nghị lắp thêm quạt .,0,general,đề_nghị lắp thêm quạt
dạy kỹ .,2,general,dạy kỹ
bài tập cần đa dạng hơn .,0,general,bài_tập cần đa_dạng hơn
nói rất nhỏ .,0,general,nói rất nhỏ
có lúc làm bài sai giáo viên nói làm hơi tự ái .,0,general,có lúc làm bài sai giáo_viên nói làm hơi tự_ái
không sửa các bài tập thực hành .,0,general,không sửa các bài_tập thực_hành
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,0,general,em chưa hiểu rõ cách_thức chấm điểm bài kiểm_tra thực_hành
làm bài tập nhiều mặc dù không hiểu lắm .,0,general,làm bài_tập nhiều mặc_dù không hiểu lắm
thi thoảng nghỉ học không thông báo trên daa .,0,general,thi_thoảng nghỉ học không thông_báo trên daa
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",2,general,thầy dạy dễ hiểu tiết_học dễ hiểu sôi_nổi
"thầy giảng dạy nhiệt tình , truyền cảm .",2,general,thầy giảng_dạy nhiệt_tình truyền_cảm
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",2,general,giảng_dạy rất chi_tiết dễ hiểu và dễ tiếp_thu
truyền đạt những kiến thức tốt .,2,general,truyền_đạt những kiến_thức tốt
cô vui tính .,2,general,cô vui_tính
nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,0,general,nếu có thì chỉ hướng_dẫn bằng lý_thuyết mà không làm bài_tập mẫu cho sinh_viên
cô chưa có nhiều kênh bài tập cho sinh viên .,0,general,cô chưa có nhiều kênh bài_tập cho sinh_viên
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,0,general,bạn nào khá thì có_thể áp_dụng công_thức vào bài_tập cả lớp chưa đến 30 còn thực_sự hiểu môn_học thì rất ít người hiểu
thầy dạy hơi nhanh .,0,general,thầy dạy hơi nhanh
ít hướng dẫn sinh viên trong giờ thực hành .,0,general,ít hướng_dẫn sinh_viên trong giờ thực_hành
không thực hành được buổi nào .,0,general,không thực_hành được buổi nào
"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",2,general,thầy dạy phần lý_thuyết hay nắm_bắt được khả_năng của sinh_viên
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",1,general,ví_dụ đề_tài của em là doubledot các nguyên_lý cơ_bản bao_gồm 7 nguyên_tắc của bohm 1983
