sentence,sentiment,topic
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",2,general
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,2,general
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,0,general
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",2,general
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",0,general
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,0,general
cô khá tận tâm cho học sinh .,2,general
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",0,general
giảng viên có khả năng truyền đạt kiến thức tốt .,2,general
cho làm nhiều bài tập .,0,general
nghiên cứu khoa học .,1,general
"giáo viên dạy rất tận tâm , nhiệt tình .",2,general
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,0,general
chỉ thông báo trên lớp sẽ khó tránh sai sót .,0,general
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,0,general
đề nghị lắp thêm quạt .,0,general
dạy kỹ .,2,general
bài tập cần đa dạng hơn .,0,general
nói rất nhỏ .,0,general
có lúc làm bài sai giáo viên nói làm hơi tự ái .,0,general
không sửa các bài tập thực hành .,0,general
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,0,general
làm bài tập nhiều mặc dù không hiểu lắm .,0,general
thi thoảng nghỉ học không thông báo trên daa .,0,general
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",2,general
"thầy giảng dạy nhiệt tình , truyền cảm .",2,general
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",2,general
truyền đạt những kiến thức tốt .,2,general
cô vui tính .,2,general
nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,0,general
cô chưa có nhiều kênh bài tập cho sinh viên .,0,general
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,0,general
thầy dạy hơi nhanh .,0,general
ít hướng dẫn sinh viên trong giờ thực hành .,0,general
không thực hành được buổi nào .,0,general
"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",2,general
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",1,general
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",2,general
"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",2,general
thầy giảng dạy tận tâm nhiệt tình .,2,general
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",2,general
thầy giáo dạy nhiệt tình .,2,general
"dạy dễ hiểu , gần gũi sinh viên .",2,general
"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",2,general
mong thầy cố gắng trong các học kỳ sau .,0,general
cần đưa ra nhiều ví dụ minh họa hơn .,0,general
"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",2,general
giảng viên không dạy một tiết thực hành nào .,0,general
không !,1,general
nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,0,general
"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",0,general
máy tính cập nhật nhanh hơn .,0,general
"vui , hòa đồng , nhiệt tình .",2,general
có giúp đỡ sinh viên học tập nghiên cứu .,2,general
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",2,general
"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",0,general
"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",2,general
mong thầy và nhà trường xem xét lại những điều em vừa nói .,0,general
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",2,general
"thầy giáo tận tình , dạy kỹ , thường đưa ra câu hỏi để xem xét mức độ hiểu biết của sinh viên .",2,general
cần tăng cương trao đổi giữa sinh viên và giáo viên .,0,general
nói chung là nghe không bao giờ nghe rõ được .,0,general
cách truyền đạt của giáo viên chưa có sức hút đối với sinh viên nhiều cho lắm .,0,general
"cô giáo thân thiện dễ gần , thực hành nhiều .",2,general
chưa tiếp thu trọn vẹn .,0,general
cần cải tiến trang thiết thực hành .,0,general
giảng kỹ hơn .,0,general
còn hơi kéo thời gian .,0,general
có nhiều bài tập về nhà cơ bản lẫn nâng cao và giảng viên sửa bài đủ .,2,general
thầy rất hiền và kiên trì giảng dạy cho lớp mặc dù môn học này đối với em không được hứng thú lắm .,0,general
đôi lúc giảng bài hơi nhanh .,0,general
có một số buổi không đi dạy .,0,general
thầy nhiệt tình và dạy dễ hiểu .,2,general
"có kiến thức nền tảng này , sinh viên có thể học thêm bất kỳ công nghệ cụ thể nào đó dễ dàng , cũng như tiếp thu thay đổi công nghệ mới nhanh chóng .",2,general
"cấu trúc đề cương của thầy chưa rõ ràng , lý thuyết chưa được trình bày rõ trong các buổi học .",0,general
tài liệu hỗ trợ toàn tiếng anh rất khó học .,0,general
chưa nhận được gì từ môn học này .,0,general
"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",0,general
bài tập mỗi tuần đều có và đầy đủ .,2,general
em xin cảm ơn .,2,general
thầy cần phải cho sinh viên biết được học môn này có tác dụng gì và làm được gì khi học xong .,0,general
đề nghị tăng thời gian thưc hành .,0,general
không được làm những chuyện riêng trong lúc dạy thực hành .,0,general
hỗ trợ thêm giáo trình không phải slide cho sinh viên .,0,general
cô wzjwz259 rất vui và nhiệt tình .,2,general
"giáo viện nhiệt tình , tận tâm .",2,general
"kiến thức được giảng viên trình bày rõ ràng , dễ hiểu cho sinh viên .",2,general
cần thêm nhiều kit để thực hành .,0,general
dạy khó hiểu quá nhanh .,0,general
"luôn gần gũi , tham khảo ý kiến sinh viên và thống nhất cũng sinh viên .",2,general
sắp xếp lịch học bù chưa hợp lý .,0,general
"nhà trường nên đưa môn học này vào thời khóa biểu bắt buộc ở học kỳ 1 của các sinh viên năm nhất nhằm giúp các em nắm biết được mình nên học gì , mình có nên chuyển đổi ngành hay không .",0,general
thời gian thực hành cần nhiều hơn .,0,general
giảng viên rất nhiệt tình trong giảng dạy .,2,general
slide chuẩn bị chưa tốt .,0,general
thầy hay đòi hỏi sinh viên những điều hơi quá cao .,0,general
cô giảng hướng dẫn nhiệt tình .,2,general
"chúng em đã gặp khó khắn với khổ giấy nhỏ , mô hình thì lớn và phức tạp .",0,general
giảng quá nhiều không đánh vào trọng tâm .,0,general
"em không muốn nói gì nhưng mong thầy xem lại cách đánh giá sinh viên để công bằng hơn , cái sinh viên không biết không phải chỉ ở cúp tiết mà còn ở cách giảng dạy , truyền đạt ở giảng viên , ví dụ như cô wzjwz324 , rất dễ hiểu , tận tâm .",0,general
cô có nhiều hình thức giảng dạy hay .,2,general
hơi khó .,0,general
thầy đi trễ .,0,general
giảng tốt .,2,general
nói mở rộng nhiều vấn đề về môn học .,2,general
cần tăng cường nội dung nghe và nói để sinh viên giao tiếp tốt hơn bằng tiếng anh .,0,general
giảng viên tạo điều kiện làm nhiều bài tập .,0,general
hỗ trợ thêm về các thiết bị dạy và học .,0,general
ít giải bài tập trên lớp .,0,general
chia sẻ .,1,general
bám sát nội dung chính .,2,general
cần thêm các đoạn code cho các giải thuật bổ sung các phương pháp để giải quyết các bài toán liệt kê .,0,general
thông tin đầy đủ về bài tập và các nguồn tham khảo .,2,general
"cô tận tâm , nhiệt tình , phương pháp dạy dễ hiểu .",2,general
"thầy giảng rất dễ hiểu và thú vị , thu hút .",2,general
hướng dẫn chi tiết về cách thực hành .,2,general
"giảng viên chỉ cho đồ án và giải đáp các yêu cầu đồ án , không cung cấp tài liệu hay hướng dẫn cơ bản , sinh viên tự tìm hiểu với lý do là hệ tài năng nên cần tự xoay sở .",0,general
"môn học toàn kiến thức mới mẻ , giảng viên nên giảng chi tiết hơn .",0,general
"đến khi cuối kỳ , chỉ cần sinh viên mắc một sai sót nhỏ thì sẽ rớt môn .",0,general
"cần thay đổi cách dạy và nội dung học của phần thực hành , các bài thực hành hiện tại của môn mạng máy tính chưa đảm bảo hiệu quả .",0,general
"thầy dạy hay , tận tình góp ý từng bài .",2,general
"cơ sở vật chất , phỏng máy không đủ phích cắm cho dụng cụ thực hành và số lượng sinh viên , máy còn tiềm ẩn nhiều virus .",0,general
"trên lớp lý thuyết giảng viên yêu cầu sinh viên phải thực hiện đồ án theo những gì mình hướng dẫn , những nhóm sinh viên bổ sung thêm những liên hệ thực tiễn đều bị cho là sai , không phù hợp với đồ án .",0,general
thầy giảng bài hay và hiệu quả !,2,general
giảng viên nhiệt tình vui vẻ .,2,general
phòng học nên có rèm che sáng để khi chiếu slide được nhìn rõ hơn .,0,general
"chương trình dạy lý thuyết và thực hành nên khớp với nhau hơn , tránh tình trạng thực hành trước khi học lý thuyết .",0,general
"thầy giảng dạy nhiệt tình , dễ hiểu .",2,general
mong giảng viên ngày càng chấn chỉnh việc dạy học để các khoá sau được hiểu tốt hơn .,0,general
"thầy dạy rất có tâm , và giảng cho sinh viên rất nhiều thứ !",2,general
"nội dung khảo sat quá dài , nhiều mục lặp đi lặp lại , nhiều bạn khảo sát mà không cần đọc , toàn tích chàn .",0,general
dạy tốt và rất nhiệt tình chỉ dạy hoc sinh .,2,general
"nhiệt tình , tân tâm .",2,general
"nhưng học mới thấy kiến thức thầy dạy rất hay , bám sát thực tế , thầy dạy rất nhiệt tình , vui vẻ , khác với mọi người nói .",2,general
bài tập rất hay .,2,general
thầy cô cần cho nhiều dạng bài tập sát với đề thi hơn .,0,general
"thầy giảng hay nhưng nên tự tin hơn , nói to hơn để học sinh hiểu bài một cách rõ ràng hơn .",2,general
"mong thầy vui tính , gần gũi với sinh viên hơn .",2,general
"giáo viên vui tính , hòa đồng , nhiệt tình .",2,general
cung cấp kiến thức trọng tâm .,2,general
cố gắng truyền đạt một cách tốt nhất để sinh viên được hiểu .,2,general
giọng của giảng viên nhỏ dù đã sử dụng micro .,0,general
"dù phương pháp học tập này khá hiệu quả nhưng vẫn có chút nào đó nghi ngờ từ phần thuyết trình của các bạn , liệu các kiến thức đó có chuẩn xác và cập nhật chưa .",1,general
giáo viên có phong cách giảng dạy nghiêm túc .,2,general
"cô rất vui tính nà , không khí lớp lúc nào cũng vui hết , cô dạy rất hay , dễ hiểu !",2,general
"giảng viên giảng dạy rất tốt , thường xuyên cung cấp thêm nhiều kiến thức .",2,general
"thầy luôn nhiệt tình , có những chia sẻ rất gần gũi với sinh viên .",2,general
có khả năng truyền đạt tốt .,2,general
thậm chí còn không có bài nào khó bằng các bài trong nội dung của lớp chuyên tin ở các trường cấp 3 .,0,general
thầy dạy tận tụy và tâm huyết .,2,general
thầy nên có cách dạy mới cho môn học này để được kết quả tốt cho tất cả mọi người thay vì để rớt rất nhiều người !,0,general
lịch thi thực hành cần được thông báo sớm tới sinh viên và phù hợp với thời gian môn học .,0,general
cô nên giảng kỹ và chi tiết từng bài vì nhiều bài đa số các bạn chưa hiểu thì cô lại giảng nhanh để chuyển qua bài khác .,0,general
dạy tốt đúng trọng tâm những gì cần biết .,2,general
"nhiệt tình , lên lớp đúng giờ , dạy dễ hiểu .",2,general
"nếu em buồn ngủ , dù lên lớp em vẫn sẽ ngủ , mà ngủ ở trên lớp thì đau lưng và tê chân lắm .",0,general
cơ mà em học môn này em hiểu colonlove .,2,general
thiếu kinh nghiệm truyền đạt .,0,general
bài giảng thú vị .,2,general
em nghĩ nội dung thực hành nên gần với đồ án hơn .,0,general
thầy nhiệt huyết và giảng bao quát đề cập đến nhiều khía cạnh của bài học vấn đề .,2,general
giảng viên giảng bài kỹ .,2,general
"hệ thống đồ án chấm điểm theo mức độ hoàn thành của sinh viên , tạo sự ganh đua không hề nhẹ với những nhóm làm chung đồ án , kích thích sáng tạo không ngừng tìm hiểu xây dựng thêm chức năng mới cho đồ án nếu muốn được điểm cao .",2,general
"nhiệt tình , tâm huyết .",2,general
ít chú trọng phần ngữ pháp .,0,general
"giảng viên còn chưa tận tâm , phong cách giảng dạy chưa thu hút được sinh viên .",0,general
"giảng rất dễ hiểu , hướng dẫn làm thực hành tốt .",2,general
"thầy dạy rất nhiệt tình , khi dạy thầy luôn đi tới từng sinh viên để hướng dẫn .",2,general
giảng viên nhiệt tình trong giảng dạy và chấm điểm .,2,general
"cách truyền đạt kiến thức đối với em là rất hiệu quả , trao đổi bài với sinh viên , cô rất nhiệt tình !",2,general
"giảng dạy hay , dễ hiểu , tận tình .",2,general
"kiến thức rộng , kinh nghiệm thực tế nhiều , truyền cảm hứng cho sinh viên .",2,general
cách dạy sáng tạo .,2,general
giảng bài dễ tiếp thu .,2,general
em rất hài lòng với cô .,2,general
"thầy dạy dễ hiểu , sinh động .",2,general
cô chưa nắm bắt được thực trạng học của sinh viên .,0,general
ảnh hưởng đến tiến độ học tập và quỹ thời gian của sinh viên ( do học bù ) .,0,general
cô giảng bài dễ hiểu .,2,general
điều em hài lòng nhất đó là thầy đi rất đúng giờ và không dạy quá nhanh .,2,general
nên có giáo trình thống nhất cho tất cả các lớp và học kỳ học .,0,general
em nghĩ cần có các bài tập lớn để nâng cao khả năng lập trình của các sinh viên .,0,general
rất nhiệt tình với sinh viên .,2,general
"giảng viên có phương pháp giảng dạy hay , cập nhật , phù hợp với sinh viên .",2,general
giảng dạy tốt và có tâm .,2,general
dạy lý thuyết hơi nhiều .,0,general
giảng viên chấm bài quy chụp theo kết quả .,1,general
"thời lượng môn học quá dài , sinh viên cảm thấy mệt mỏi .",0,general
giảng viên vui tính dễ tương tác với sinh viên .,2,general
"nhiệt tình hay giúp đỡ sinh viên khi không biết , cho nhiều bài tập .",2,general
"thầy cho điểm phần nào còn theo cảm tính , chưa được công bằng .",0,general
thầy giảng dạy rất nhiệt tình .,2,general
"thầy nhiệt tình , bài giảng phong phú đa dạng .",2,general
không có gì đặc biệt .,1,general
"mỗi tháng chỉ gặp giảng viên một lần rất khó cho việc học hỏi , hướng dẫn từ giáo viên .",0,general
"thầy nên chuẩn bị riêng một slide cho mình để giảng dạy , không nên lấy slide của người khác rồi đến khi sơ sót , thầy lại lấy cái lý do "" đây không là slide của tôi "" , "" cái này tôi cũng không rõ nữa "" .",0,general
thầy cho làm các bài tập tại lớp trong khi sinh viên chưa biết gì về vấn đề đó .,0,general
đôi khi đi quá sâu vào một vấn đề bên lề .,0,general
"giảng viên dạy tận tâm , nhiệt tình , dễ hiểu .",2,general
cô thật nhiệt tình .,2,general
phòng thực hành tốt .,2,general
"nói chuyện lan man , không liên quan đến môn học quá nhiều .",0,general
giảng viên rất tận tâm .,2,general
phân bổ hợp lý thời gian học và nên cho xem nhiều video hơn là nghe .,0,general
"thầy bận nhiều nên cũng nghỉ nhiều , hi vọng thầy có thể sắp xếp thời gian .",0,general
giáo viên sử dụng giờ trên lớp hiệu quả .,2,general
"giáo viên tận tình , dạy truyền đạt tốt .",2,general
"giảng viên dạy tốt , nhiệt tình .",2,general
giảng viên tạo cảm hứng cho sinh viên học tập .,2,general
chán .,0,general
"thầy nhiệt tình , tận tâm giúp đỡ sinh viên .",2,general
"dạy quá chậm , quá cặn kẽ .",0,general
thầy wzjwz174 ít cho bài tập về nhà .,0,general
thầy đôi khi nói hơi khó hiểu .,0,general
"giảng viên tận tâm , nhiệt tình , hỗ trợ giải đáp thắc mắc môn học cho sinh viên .",2,general
"nên đi sâu vào vấn đề , giúp sinh viên hiểu tốt môn học , và nên có những ứng dụng cụ thể mà môn học đem lại .",0,general
